name;link;number
 Marcin Bosak ;/person/Marcin+Bosak-140802;140802
 Barbara Kurdej-Szatan ;/person/Barbara+Kurdej+Szatan-614199;614199
 Mariusz Jakus ;/person/Mariusz+Jakus-6962;6962
 Marek Frąckowiak ;/person/Marek+Fr%C4%85ckowiak-8715;8715
 Katarzyna Glinka ;/person/Katarzyna+Glinka-157418;157418
 Jerzy Rogalski ;/person/Jerzy+Rogalski-8862;8862
 Anna Próchniak ;/person/Anna+Pr%C3%B3chniak-1532569;1532569
 Grzegorz Małecki I ;/person/Grzegorz+Ma%C5%82ecki-56093;56093
 Ewa Wiśniewska ;/person/Ewa+Wi%C5%9Bniewska-455;455
 Ignacy Gogolewski ;/person/Ignacy+Gogolewski-8877;8877
 Krzysztof Banaszyk ;/person/Krzysztof+Banaszyk-86302;86302
 Marcin Kwaśny ;/person/Marcin+Kwa%C5%9Bny-143690;143690
 Janusz Kamiński I ;/person/Janusz+Kami%C5%84ski-299;299
 Edward Żentara ;/person/Edward+%C5%BBentara-43732;43732
 Agnieszka Włodarczyk I ;/person/Agnieszka+W%C5%82odarczyk-6154;6154
 Waldemar Barwiński ;/person/Waldemar+Barwi%C5%84ski-150894;150894
 Krzysztof Chamiec ;/person/Krzysztof+Chamiec-45232;45232
 Zygmunt Malanowicz ;/person/Zygmunt+Malanowicz-7106;7106
 Dariusz Kowalski I ;/person/Dariusz+Kowalski-40495;40495
 Tamara Arciuch ;/person/Tamara+Arciuch-86566;86566
 Bogusz Bilewski ;/person/Bogusz+Bilewski-7046;7046
 Filip Pławiak ;/person/Filip+P%C5%82awiak-1551572;1551572
 Dorota Chotecka ;/person/Dorota+Chotecka-46346;46346
 Jerzy Nowak I ;/person/Jerzy+Nowak-489;489
 Paweł Ciołkosz ;/person/Pawe%C5%82+Cio%C5%82kosz-597253;597253
 Edmund Fetting ;/person/Edmund+Fetting-44385;44385
 Tomasz Bednarek ;/person/Tomasz+Bednarek-8960;8960
 Aleksandra Domańska II ;/person/Aleksandra+Doma%C5%84ska-810790;810790
 Krzysztof Dracz ;/person/Krzysztof+Dracz-3008;3008
 Bogusław Sochnacki ;/person/Bogus%C5%82aw+Sochnacki-44438;44438
 Paweł Deląg ;/person/Pawe%C5%82+Del%C4%85g-417;417
 Jacek Lenartowicz I ;/person/Jacek+Lenartowicz-74155;74155
 Ignacy Machowski ;/person/Ignacy+Machowski-8584;8584
 Grażyna Błęcka-Kolska ;/person/Gra%C5%BCyna+B%C5%82%C4%99cka+Kolska-3187;3187
 Julia Kamińska ;/person/Julia+Kami%C5%84ska-481708;481708
 Dorota Segda ;/person/Dorota+Segda-8920;8920
 Ilona Ostrowska ;/person/Ilona+Ostrowska-48140;48140
 Kazimierz Wichniarz ;/person/Kazimierz+Wichniarz-8889;8889
 Joanna Wizmur ;/person/Joanna+Wizmur-62798;62798
 Zdzisław Mrożewski ;/person/Zdzis%C5%82aw+Mro%C5%BCewski-45951;45951
 Zygmunt Hübner ;/person/Zygmunt+H%C3%BCbner-7031;7031
 Jan Kobuszewski ;/person/Jan+Kobuszewski-439;439
 Sylwester Maciejewski ;/person/Sylwester+Maciejewski-8822;8822
 Piotr Żurawski I ;/person/Piotr+%C5%BBurawski-706636;706636
 Paweł Nowisz ;/person/Pawe%C5%82+Nowisz-8866;8866
 Andrzej Kopiczyński ;/person/Andrzej+Kopiczy%C5%84ski-363;363
 Arkadiusz Bazak ;/person/Arkadiusz+Bazak-8550;8550
 Ewa Błaszczyk ;/person/Ewa+B%C5%82aszczyk-496;496
 Radosław Pazura ;/person/Rados%C5%82aw+Pazura-273;273
 Jerzy Kamas ;/person/Jerzy+Kamas-7927;7927
 Katarzyna Herman ;/person/Katarzyna+Herman-129360;129360
 Janusz Zakrzeński ;/person/Janusz+Zakrze%C5%84ski-7959;7959
 Agnieszka Żulewska ;/person/Agnieszka+%C5%BBulewska-947273;947273
 Marek Barbasiewicz ;/person/Marek+Barbasiewicz-7498;7498
 Wojciech Duryasz ;/person/Wojciech+Duryasz-7497;7497
 Marieta Żukowska ;/person/Marieta+%C5%BBukowska-297252;297252
 Maria Pakulnis ;/person/Maria+Pakulnis-510;510
 Dariusz Wolski I ;/person/Dariusz+Wolski-10707;10707
 Katarzyna Bujakiewicz ;/person/Katarzyna+Bujakiewicz-7889;7889
 Mateusz Damięcki ;/person/Mateusz+Dami%C4%99cki-398;398
 Paweł Wilczak ;/person/Pawe%C5%82+Wilczak-7492;7492
 Janusz Bukowski ;/person/Janusz+Bukowski-42832;42832
 Mirosław Haniszewski ;/person/Miros%C5%82aw+Haniszewski-196993;196993
 Jakub Wesołowski ;/person/Jakub+Weso%C5%82owski-138142;138142
 Andrzej Zaborski ;/person/Andrzej+Zaborski-377;377
 Teresa Lipowska ;/person/Teresa+Lipowska-8922;8922
 Zofia Czerwińska ;/person/Zofia+Czerwi%C5%84ska-54981;54981
 Agnieszka Wagner ;/person/Agnieszka+Wagner-470;470
 Szymon Piotr Warszawski ;/person/Szymon+Piotr+Warszawski-1705081;1705081
 Mieczysław Stoor ;/person/Mieczys%C5%82aw+Stoor-8591;8591
 Wojciech Kilar ;/person/Wojciech+Kilar-300;300
